# ProviderName | Type | Value
Google | ipv4 | 8.8.8.8
Google | ipv4 | 8.8.4.4
Google | ipv6 | 2001:4860:4860::8888
Google | ipv6 | 2001:4860:4860::8844
Google | doh  | https://dns.google/dns-query
Google | dot  | tls://dns.google
Google | country | United States
Google | fallback | 8.8.8.8
Google | fallback | 2001:4860:4860::8844

Cloudflare | ipv4 | 1.1.1.1
Cloudflare | ipv4 | 1.0.0.1
Cloudflare | ipv6 | 2606:4700:4700::1111
Cloudflare | ipv6 | 2606:4700:4700::1001
Cloudflare | doh  | https://cloudflare-dns.com/dns-query
Cloudflare | dot  | tls://1dot1dot1dot1.cloudflare-dns.com
Cloudflare | fallback | 1.0.0.1
Cloudflare | fallback | 2606:4700:4700::1001
Cloudflare | country | United States

Quad9 | ipv4 | 9.9.9.9
Quad9 | ipv6 | 2620:fe::fe
Quad9 | doh  | https://dns.quad9.net/dns-query
Quad9 | fallback | 9.9.9.9
Quad9 | country | Switzerland
